road_segment,Latitude,Longitude
cam4,24.810974,120.970021
cam1,24.786925,120.986707
cam2,24.790287,120.976608
cam6,24.805295,120.992679
cam5,24.801061,120.987161
cam8,24.814245,120.974301
cam7,24.805481,120.977173
cam9,24.8048831,120.966084
cam3,24.796701,120.960701
