from,to,cost
11,45,428.8963444704736
45,26,2872.597154261376
26,45,2872.597154261376
45,12,1068.1293215442522
12,45,1068.1293215442522
45,13,1865.0845228622
13,45,1865.0845228622
45,25,2238.713208640834
25,45,2238.713208640834
45,41,502.6247120281414
41,45,502.6247120281414
45,3,1858.1170252526365
3,45,1858.1170252526365
45,1,2262.667655422007
1,45,2262.667655422007
45,43,969.2670962273191
43,45,969.2670962273191
45,23,2562.9613673028375
23,45,2562.9613673028375
45,20,2694.691680683517
20,45,2694.691680683517
45,24,3220.536604060529
24,45,3220.536604060529
45,49,1663.2419919018678
49,45,1663.2419919018678
45,2,2317.872672904274
2,45,2317.872672904274
45,48,1590.9141687583744
48,45,1590.9141687583744
45,34,1391.7123795643836
34,45,1391.7123795643836
45,19,3143.033275628635
19,45,3143.033275628635
45,46,697.855877115858
46,45,697.855877115858
45,44,1144.352643855462
44,45,1144.352643855462
45,33,1787.7081751459998
33,45,1787.7081751459998
45,39,1074.8111053761709
39,45,1074.8111053761709
45,15,2584.843259842693
15,45,2584.843259842693
45,35,1396.0684828646765
35,45,1396.0684828646765
45,36,1320.2687062683528
36,45,1320.2687062683528
45,40,778.6278058280591
40,45,778.6278058280591
45,38,1020.6753297346446
38,45,1020.6753297346446
45,42,729.2955934162069
42,45,729.2955934162069
32,30,1107.005890751824
30,32,1107.005890751824
32,18,3903.7447774530447
18,32,3903.7447774530447
32,37,1337.828443052776
37,32,1337.828443052776
32,14,3026.4268111163856
14,32,3026.4268111163856
32,22,2233.8533578629176
22,32,2233.8533578629176
32,16,3207.2706962871216
16,32,3207.2706962871216
32,9,1999.6014277216548
9,32,1999.6014277216548
32,21,2453.8785373654914
21,32,2453.8785373654914
32,17,1973.8484385641623
17,32,1973.8484385641623
32,10,1767.9307522125198
10,32,1767.9307522125198
32,29,1383.5587776639798
29,32,1383.5587776639798
32,28,1806.9934996398767
28,32,1806.9934996398767
32,31,565.2259422824893
31,32,565.2259422824893
32,11,1953.060917925389
11,32,1953.060917925389
32,26,2617.773549258388
26,32,2617.773549258388
32,12,1698.9325358916944
12,32,1698.9325358916944
32,13,2553.8846241138463
13,32,2553.8846241138463
32,25,1980.8324017220543
25,32,1980.8324017220543
32,41,1063.0826462355183
41,32,1063.0826462355183
32,3,3416.6509982005227
3,32,3416.6509982005227
32,1,3773.2170133947807
1,32,3773.2170133947807
32,43,1691.0277528499016
43,32,1691.0277528499016
32,23,2507.2606322695506
23,32,2507.2606322695506
32,20,2925.248307484664
20,32,2925.248307484664
32,24,3207.483217532932
24,32,3207.483217532932
32,49,2906.104114112444
49,32,2906.104114112444
32,2,3879.739337486725
2,32,3879.739337486725
32,48,2666.0267995197332
48,32,2666.0267995197332
32,34,491.0988026342566
34,32,491.0988026342566
32,19,3494.5743115100927
19,32,3494.5743115100927
32,46,1981.9563698826935
46,32,1981.9563698826935
32,44,1906.9342762440394
44,32,1906.9342762440394
32,33,837.072011553254
33,32,837.072011553254
32,39,503.020385842538
39,32,503.020385842538
32,15,3296.377770217723
15,32,3296.377770217723
32,35,985.8811789950836
35,32,985.8811789950836
32,36,1296.5306989418175
36,32,1296.5306989418175
32,40,857.9563826859061
40,32,857.9563826859061
32,38,1062.7059383418502
38,32,1062.7059383418502
32,42,1317.7699243220136
42,32,1317.7699243220136
30,18,2964.0305751634864
18,30,2964.0305751634864
30,37,1016.7119377603278
37,30,1016.7119377603278
30,14,2351.1423301996656
14,30,2351.1423301996656
30,22,1324.2182001443516
22,30,1324.2182001443516
30,16,2385.375084323079
16,30,2385.375084323079
30,9,1819.9000529398527
9,30,1819.9000529398527
30,21,1592.2337271443416
21,30,1592.2337271443416
30,17,1365.4647976499718
17,30,1365.4647976499718
30,10,1729.8718618292753
10,30,1729.8718618292753
30,29,335.9033998586076
29,30,335.9033998586076
30,28,700.0169450779423
28,30,700.0169450779423
30,31,541.7800597264794
31,30,541.7800597264794
30,11,2186.84708064825
11,30,2186.84708064825
30,26,1539.5194732802415
26,30,1539.5194732802415
30,12,1391.9660553349058
12,30,1391.9660553349058
30,13,1954.6947555600098
13,30,1954.6947555600098
30,25,958.6487373512543
25,30,958.6487373512543
30,41,1577.4547966872954
41,30,1577.4547966872954
30,3,3710.4649532733797
3,30,3710.4649532733797
30,1,4186.633419850281
1,30,4186.633419850281
30,43,2517.213394186157
43,30,2517.213394186157
30,23,1500.6550658176077
23,30,1500.6550658176077
30,20,1999.8214782419047
20,30,1999.8214782419047
30,24,2166.8748148785658
24,30,2166.8748148785658
30,49,3580.3599340395144
49,30,3580.3599340395144
30,2,4137.6607677925695
2,30,4137.6607677925695
30,48,3426.5661888797736
48,30,3426.5661888797736
30,34,738.0819779795888
34,30,738.0819779795888
30,19,2576.8993793753452
19,30,2576.8993793753452
30,46,2592.1007152864518
46,30,2592.1007152864518
30,44,2746.822325767617
44,30,2746.822325767617
30,33,1943.1485516187186
33,30,1943.1485516187186
30,39,1151.3955929968502
39,30,1151.3955929968502
30,15,2592.456087496437
15,30,2592.456087496437
30,35,573.5136227850395
35,30,573.5136227850395
30,36,815.312651819726
36,30,815.312651819726
30,40,1603.576247845232
40,30,1603.576247845232
30,38,957.5217690194813
38,30,957.5217690194813
30,42,2105.0395230804584
42,30,2105.0395230804584
18,37,2694.0503269020023
37,18,2694.0503269020023
18,14,1308.1375051520702
14,18,1308.1375051520702
18,22,1672.3590095358204
22,18,1672.3590095358204
18,16,840.0248316103365
16,18,840.0248316103365
18,9,2604.9722149941076
9,18,2604.9722149941076
18,21,1456.3557175862447
21,18,1456.3557175862447
18,17,2053.137287599969
17,18,2053.137287599969
18,10,2857.941072817568
10,18,2857.941072817568
18,29,2628.3726369909214
29,18,2628.3726369909214
18,28,2449.275051832763
28,18,2449.275051832763
18,31,3411.5491233352996
31,18,3411.5491233352996
18,11,3355.8364850420817
11,18,3355.8364850420817
18,26,1606.8806568340974
26,18,1606.8806568340974
18,12,2519.184005606322
12,18,2519.184005606322
18,13,1695.4019276667725
13,18,1695.4019276667725
18,25,2009.0812542333663
25,18,2009.0812542333663
18,41,3603.1413730737872
41,18,3603.1413730737872
18,3,4180.207187500859
3,18,4180.207187500859
18,1,4780.001673660805
1,18,4780.001673660805
18,43,4506.864867831968
43,18,4506.864867831968
18,23,1474.4515730990895
23,18,1474.4515730990895
18,20,979.0581056087606
20,18,979.0581056087606
18,24,975.299574741343
24,18,975.299574741343
18,49,4946.484644535411
49,18,4946.484644535411
18,2,4370.110996448989
2,18,4370.110996448989
18,48,5022.636250593219
48,18,5022.636250593219
18,34,3414.5387094402363
34,18,3414.5387094402363
18,19,416.6711298323795
19,18,416.6711298323795
18,46,4175.922301869228
46,18,4175.922301869228
18,44,4691.22681640344
44,18,4691.22681640344
18,33,4682.142269628245
33,18,4682.142269628245
18,39,3637.0879503299097
39,18,3637.0879503299097
18,15,1131.9267226543038
15,18,1131.9267226543038
18,35,2920.7785349253295
35,18,2920.7785349253295
18,36,2644.827155277159
36,18,2644.827155277159
18,40,3869.777510217722
40,18,3869.777510217722
18,38,2974.8238330425324
38,18,2974.8238330425324
18,42,4183.317100746639
42,18,4183.317100746639
37,14,1695.863935798248
14,37,1695.863935798248
37,22,1120.7718145093893
22,37,1120.7718145093893
37,16,1928.1149000753226
16,37,1928.1149000753226
37,9,809.7873225970786
9,37,809.7873225970786
37,21,1253.9322436755697
21,37,1253.9322436755697
37,17,659.8209323291745
17,37,659.8209323291745
37,10,720.842171771462
10,37,720.842171771462
37,29,913.349722278509
29,37,913.349722278509
37,28,1355.2871573344432
28,37,1355.2871573344432
37,31,1047.8562409815904
31,37,1047.8562409815904
37,11,1232.3777348621618
11,37,1232.3777348621618
37,26,1767.871945179721
26,37,1767.871945179721
37,12,401.5317306267011
12,37,401.5317306267011
37,13,1217.7633336087688
13,37,1217.7633336087688
37,25,1119.8106003014918
25,37,1119.8106003014918
37,41,957.313004433481
41,37,957.313004433481
37,3,2723.1763736403727
3,37,2723.1763736403727
37,1,3228.890437204021
1,37,3228.890437204021
37,43,1944.8603351066117
43,37,1944.8603351066117
37,23,1493.2209509330853
23,37,1493.2209509330853
37,20,1747.1227121811007
20,37,1747.1227121811007
37,24,2186.674421956184
24,37,2186.674421956184
37,49,2782.0832330406242
49,37,2782.0832330406242
37,2,3137.624477361441
2,37,3137.624477361441
37,48,2706.309521580636
48,37,2706.309521580636
37,34,876.2361233068464
34,37,876.2361233068464
37,19,2277.381824376505
19,37,2277.381824376505
37,46,1816.943975383665
46,37,1816.943975383665
37,44,2160.436385675492
44,37,2160.436385675492
37,33,2022.3269869044564
33,37,2022.3269869044564
37,39,963.5258627520262
39,37,963.5258627520262
37,15,1968.4929776782506
15,37,1968.4929776782506
37,35,487.41948687874844
35,37,487.41948687874844
37,36,218.7827318273313
36,37,218.7827318273313
37,40,1184.5166186328752
40,37,1184.5166186328752
37,38,289.40844705478634
38,37,289.40844705478634
37,42,1565.2481484141665
42,37,1565.2481484141665
14,22,1135.4679710769033
22,14,1135.4679710769033
14,16,501.91621466236916
16,14,501.91621466236916
14,9,1359.61411177005
9,14,1359.61411177005
14,21,865.7686476946274
21,14,865.7686476946274
14,17,1055.1585863643973
17,14,1055.1585863643973
14,10,1636.71775146667
10,14,1636.71775146667
14,29,2046.750185728799
29,14,2046.750185728799
14,28,2128.555518401345
28,14,2128.555518401345
14,31,2645.7353795232652
31,14,2645.7353795232652
14,11,2081.7389593358803
11,14,2081.7389593358803
14,26,1675.965073801041
26,14,1675.965073801041
14,12,1398.611002118591
12,14,1398.611002118591
14,13,487.47988735652973
13,14,487.47988735652973
14,25,1587.6953139358905
25,14,1587.6953139358905
14,41,2475.1972571472998
41,14,2475.1972571472998
14,3,2898.4759179293346
3,14,2898.4759179293346
14,1,3499.0784074915878
1,14,3499.0784074915878
14,43,3293.3334165352844
43,14,3293.3334165352844
14,23,1296.3180736822299
23,14,1296.3180736822299
14,20,874.7253393628599
20,14,874.7253393628599
14,24,1481.862134494384
24,14,1481.862134494384
14,49,3643.415807312692
49,14,3643.415807312692
14,2,3127.4382870614254
2,14,3127.4382870614254
14,48,3734.1906173679176
48,14,3734.1906173679176
14,34,2547.117428268456
34,14,2547.117428268456
14,19,969.8776880964863
19,14,969.8776880964863
14,46,2910.0919767901373
46,14,2910.0919767901373
14,44,3460.2587951568376
44,14,3460.2587951568376
14,33,3707.1788592333723
33,14,3707.1788592333723
14,39,2651.75904289097
39,14,2651.75904289097
14,15,274.74724298363685
15,14,274.74724298363685
14,35,2074.4724238549625
35,14,2074.4724238549625
14,36,1738.1357848576934
36,14,1738.1357848576934
14,40,2777.7345209866644
40,14,2777.7345209866644
14,38,1982.8317216794142
38,14,1982.8317216794142
14,42,3009.9594437548367
42,14,3009.9594437548367
22,16,1067.1574064645897
16,22,1067.1574064645897
22,9,1425.578114440066
9,22,1425.578114440066
22,21,281.6679937007013
21,22,281.6679937007013
22,17,648.4044782332888
17,22,648.4044782332888
22,10,1564.315931404749
10,22,1564.315931404749
22,29,992.1002789986015
29,22,992.1002789986015
22,28,993.8464889972039
28,22,993.8464889972039
22,31,1741.2073783372389
31,22,1741.2073783372389
22,11,2139.726345737597
11,22,2139.726345737597
22,26,759.4393835153777
26,22,759.4393835153777
22,12,1116.4476612410217
12,22,1116.4476612410217
22,13,906.720622717565
